"ID","Origen","Fecha","Tipo","Monto ($)","Emisor/Receptor","Concepto","Grupo / Teléfono","Detalles / Texto"
"-OsF289cqlZzo_9QNbUe","WhatsApp Bot","2026-05-10T04:02:00.000Z","police","0","Grupo WhatsApp","Operativo de tránsito recién retirado, zona despejada.","Solo Operativos de TRÁNSITO!!! 2","*🚩🏁🚩OVIDIOS LAGOS Y CATAMARCA.... RECIEN SE VA EL OPERATIVO DE TRÁNSITO... LIMPIO YA🚩🏁🚩*"
"-OsF9-N6rK6rcqDvDFHm","WhatsApp Bot","2026-05-10T04:31:59.014Z","police","0","Grupo WhatsApp","*⚠️✖️✖️⚠️CAFFERATA Y SALTA POR AMBAS CALLES ... EL OPERATIVO DE FISCA FISCALIZACION DE TRANSPORTE ( ","Solo Operativos de TRÁNSITO!!! 2","*⚠️✖️✖️⚠️CAFFERATA Y SALTA POR AMBAS CALLES ... EL OPERATIVO DE FISCA FISCALIZACION DE TRANSPORTE ( servicios públicos) PARANDO TAXIS Y AUTOS 🚖🚘🚖BUSCANDO REMISES TRUCHOS LOS UBER DIDI Y CABIFY NO HABILITADOS CON LAS 2 PLANCHAS LA ITALIANA IVECO Y LA ASIATICA HYUNDAI CON ALCOHOLEMIA🗣️🗣️ Y NARCOLEMIA⚠️✖️✖️⚠️*"
"-OsGgCpZXCRvQs4zUkew","WhatsApp Bot","2026-05-10T11:41:04.256Z","police","0","Grupo WhatsApp","A mi tmb me dijeron lo del pity q en estoy días lo metían en cana de nuevo","Choferes de Uber.!! ","A mi tmb me dijeron lo del pity q en estoy días lo metían en cana de nuevo"
"-OsP6apvw6i4f38EkvG2","WhatsApp Bot","2026-05-12T02:57:42.289Z","police","0","Grupo WhatsApp","Operativo policial en el cementerio de Villa Gobernador Gálvez.","Trabajo","operativo en el cementerio de vgg"
"-OsPCl5MJNkQWpfbzOGs","WhatsApp Bot","2026-05-12T03:24:37.172Z","police","0","Grupo WhatsApp","operativo en el cementerio de vgg","Trabajo","operativo en el cementerio de vgg"
"-OsR4rD65mIZMZRbH2Jm","WhatsApp Bot","2026-05-12T12:09:19.523Z","municipal","0","Grupo WhatsApp","Hoy es el dia del inspector de transito asi que si los cruzando no olviden saludarlos","DIDI - Uber Rosario","Hoy es el dia del inspector de transito asi que si los cruzando no olviden saludarlos"
"-OsRIgezGIlVd0HOYJVy","WhatsApp Bot","2026-05-12T13:09:46.331Z","police","0","Grupo WhatsApp","En canal 3 lo estaban pasando, salio hablando el papá","Choferes de Uber.!! ","En canal 3 lo estaban pasando, salio hablando el papá"
"-OsRIh0ObuiyFdb9CDse","WhatsApp Bot","2026-05-12T13:09:47.765Z","police","0","Grupo WhatsApp","En canal 3 lo estaban pasando, salio hablando el papá","Choferes de Uber.!! ","En canal 3 lo estaban pasando, salio hablando el papá"
"-OsSAvp-3UmwCQHPb1Ai","WhatsApp Bot","2026-05-12T17:15:28.475Z","radar","0","Grupo WhatsApp","Radar en Pellegrini, sentido al este.","Solo Operativos de TRÁNSITO!!! 2","Radar Pellegrini y barra.mano al esté"
"-OsT6dl_ERaSlasbnD8_","WhatsApp Bot","2026-05-12T21:36:23.166Z","checkpoint","0","Grupo WhatsApp","operativo salta y roca","Trabajo","operativo salta y roca"
"-OsTQ3R8FrWpjuD2YLyq","WhatsApp Bot","2026-05-12T23:01:13.126Z","checkpoint","0","Grupo WhatsApp","operativo salta y roca,  fiscalisacion","Trabajo","operativo salta y roca,  fiscalisacion"
"-OsTQCcDj_W3nFPTTGO8","WhatsApp Bot","2026-05-12T23:01:50.763Z","checkpoint","0","Grupo WhatsApp","Gran operativo abajo del puente nogués ambas manos","Trabajo","Gran operativo abajo del puente nogués ambas manos"
"-OsTSRK8w9RgvwFMBAN0","WhatsApp Bot","2026-05-12T23:11:35.270Z","checkpoint","0","Grupo WhatsApp","operativo salta y roca,  fiscalisacion","Trabajo","operativo salta y roca,  fiscalisacion"
"-OsTT13MCb4sdeN6mYvy","WhatsApp Bot","2026-05-12T23:14:09.844Z","checkpoint","0","Grupo WhatsApp","operativo salta y roca,  fiscalisacion","Trabajo","operativo salta y roca,  fiscalisacion"
"-OsTTNDgEfbtNuSQ-tPf","WhatsApp Bot","2026-05-12T23:15:40.623Z","checkpoint","0","Grupo WhatsApp","operativo salta y roca,  fiscalisacion","Trabajo","operativo salta y roca,  fiscalisacion"
"-OsWBxdNQekmR1QSm1Eh","WhatsApp Bot","2026-05-13T11:58:26.934Z","radar","0","Grupo WhatsApp","Bien dia
Rivadavia entre pueyrredon y santiago esta la camara","Solo Operativos de TRÁNSITO!!! 2","Bien dia
Rivadavia entre pueyrredon y santiago esta la camara"
"-OsWLazE0CfhxVlRq66q","WhatsApp Bot","2026-05-13T12:40:35.564Z","police","0","Grupo WhatsApp","*🚧📛📛🚧ENTRE RIOS Y SAN JUAN.... EL POTENTE OPERATIVO DE TRÁNSITO CON EL CARRETON Y ALRREDEDORES T","Solo Operativos de TRÁNSITO!!! 2","*🚧📛📛🚧ENTRE RIOS Y SAN JUAN.... EL POTENTE OPERATIVO DE TRÁNSITO CON EL CARRETON Y ALRREDEDORES TAMBIEN TE LLEVAN AL OPERATIVO CHUPANDO MOTOS 🛵🏍️🛵🏍️A FULL IMPACT CON EL JEFE DE DIVISION RICARDO ROHRER (ALIAS RIO RIO) CON EL TERCIO DELTA DE POLICIA MOTORIZADA... EVITEN ZONA HASTA LAS 11.30 HS🚧📛📛🚧*"
"-OsXW155awmtlixOKI-S","WhatsApp Bot","2026-05-13T18:05:45.250Z","checkpoint","0","Grupo WhatsApp","*EL OPERATIVO CANCHA☝️*","Solo Operativos de TRÁNSITO!!! 2","*EL OPERATIVO CANCHA☝️*"
"-OsXs14iytgv9hJ4Y4d3","WhatsApp Bot","2026-05-13T19:46:14.450Z","police","0","Grupo WhatsApp","*🚧🚥🚥🚧SILVESTRE BEGNIS ENTRADA A GRANADERO BAIGORRIA DESDE AUTOPISTA ALTURA LA FUNDICIÓN MARTÍNEZ","Solo Operativos de TRÁNSITO!!! 2","*🚧🚥🚥🚧SILVESTRE BEGNIS ENTRADA A GRANADERO BAIGORRIA DESDE AUTOPISTA ALTURA LA FUNDICIÓN MARTÍNEZ..... TERRIBLE OPERATIVO DE TRÁNSITO CON LA POLICIA VIAL A FULL AMBAS MANOS CON LA GRUA🚧🚥🚥🚧*"
"-OsYMOQj4hjP9b1YapAM","WhatsApp Bot","2026-05-13T22:03:16.624Z","checkpoint","0","Grupo WhatsApp","operativo salta y francia","Trabajo","operativo salta y francia"
"-OsYmmQMF0_BGjxrnUsY","WhatsApp Bot","2026-05-14T00:02:56.882Z","checkpoint","0","Grupo WhatsApp","Operativo en la intersección de Aldao y Montevideo.","Solo Operativos de TRÁNSITO!!! 2","Op c aldao y Montevideo"
"-OsZELMVMDEBGjYvouU1","WhatsApp Bot","2026-05-14T02:07:44.120Z","checkpoint","0","Grupo WhatsApp","Operativo de control en Salta y Francia.","Trabajo","operativo salta y francia fisca"
"-OsZELl-HVZHsGAZf7YG","WhatsApp Bot","2026-05-14T02:07:45.752Z","checkpoint","0","Grupo WhatsApp","Operativo de fiscalización en la intersección de Salta y Francia.","Trabajo","operativo salta y francia fisca"
"-OsZN51IbpnIxgfnXfrK","WhatsApp Bot","2026-05-14T02:45:56.525Z","police","0","Grupo WhatsApp","operativo salta y francia fisca mas policia mas alcoholemia","Trabajo","operativo salta y francia fisca mas policia mas alcoholemia"
"-OsZN51bhSeUHD5bqI7g","WhatsApp Bot","2026-05-14T02:45:56.545Z","police","0","Grupo WhatsApp","operativo salta y francia fisca mas policia mas alcoholemia","Trabajo","operativo salta y francia fisca mas policia mas alcoholemia"
"-OsZNw8zRxpUpNNAe0Au","WhatsApp Bot","2026-05-14T02:49:38.203Z","police","0","Grupo WhatsApp","Operativo policial con controles de alcoholemia y fiscalización.","Trabajo","operativo oroño y arijon fisca mas policia mas alcoholemia"
"-OsZNwOFMDTT7b61xcmE","WhatsApp Bot","2026-05-14T02:49:39.181Z","police","0","Grupo WhatsApp","Operativo policial con fiscalización y controles de alcoholemia.","Trabajo","operativo oroño y arijon fisca mas policia mas alcoholemia"
"-OsZr7tw14ia8tDmYYdZ","WhatsApp Bot","2026-05-14T05:01:34.745Z","police","0","Grupo WhatsApp","Operativo policial con fiscalización, controles de alcoholemia y cannabis.","Trabajo","operativo oroño y arijon fisca mas policia mas alcoholemia mas canavis"
"-OsZr7yQCxb30H0dw2p1","WhatsApp Bot","2026-05-14T05:01:35.032Z","police","0","Grupo WhatsApp","Operativo policial con fiscalización, controles de alcoholemia y cannabis.","Trabajo","operativo oroño y arijon fisca mas policia mas alcoholemia mas canavis"
"-OsZwqxsErMZKVEJwziY","WhatsApp Bot","2026-05-14T05:26:34.130Z","checkpoint","0","Grupo WhatsApp","Control por ingreso a el cristo ruta21 por derecha","Trabajo","Control por ingreso a el cristo ruta21 por derecha"
"-OsZwqxzlP6WgRb4E1yE","WhatsApp Bot","2026-05-14T05:26:34.138Z","checkpoint","0","Grupo WhatsApp","Control por ingreso a el cristo ruta21 por derecha","Trabajo","Control por ingreso a el cristo ruta21 por derecha"
"-Os_PJ5GgHuCCXKXLuHg","WhatsApp Bot","2026-05-14T07:35:15.628Z","police","0","Grupo WhatsApp","Control policial bajo el puente de Cargill, sentido de Pueblo Esther hacia Rosario","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Policía   parando bajo puente cargill.. mano p Esther a rosario"
"-Osa64mmUzTr97ceUOGy","WhatsApp Bot","2026-05-14T10:50:53.516Z","checkpoint","0","Grupo WhatsApp","El acceso a General Lagos está libre de operativos o controles.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Acceso lagos libre"
"-OsaHU6LLCt2_PGZd5p7","WhatsApp Bot","2026-05-14T11:40:40.817Z","checkpoint","0","Grupo WhatsApp","Operativo en el Peaje General Lagos.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","op en Peaje"
"-OsaMXu-Wun9P21cb8Ue","WhatsApp Bot","2026-05-14T12:02:47.067Z","municipal","0","Grupo WhatsApp","Vehículo municipal de tránsito en el acceso a General Lagos por la autopista.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Chata de tránsito en acceso Lagos autopista"
"-OsaM_rv2aQP4moq8U3q","WhatsApp Bot","2026-05-14T12:02:59.222Z","checkpoint","0","Grupo WhatsApp","Posible control en la zona de Arroyo Seco","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Posiblemente control en breve"
"-OsaNMZcYiSJdYF_ysRg","WhatsApp Bot","2026-05-14T12:06:22.787Z","checkpoint","0","Grupo WhatsApp","Control de fuerzas armándose en la entrada a Fighiera, para quienes transitan desde Arroyo Seco.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Entrada fighiera viniendo de arroyo se esta armando para control"
"-OsaWdF1MYdLemAx58r4","WhatsApp Bot","2026-05-14T12:46:54.493Z","checkpoint","0","Grupo WhatsApp","Consulta sobre posible operativo en el acceso a General Lagos.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Algo en acceso de lagos??"
"-OsajqcIZLGf_QoMQevS","WhatsApp Bot","2026-05-14T13:48:59.310Z","checkpoint","0","Grupo WhatsApp","Autopista AO12 y Vías del Ferrocarril libres de operativos.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Ao12 y las vías libre"
"-OsanMq0EITm8_XjQvci","WhatsApp Bot","2026-05-14T14:04:21.788Z","checkpoint","0","Grupo WhatsApp","Alerta genérica de posible operativo o control en la zona de Fighiera o Arroyo Seco.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Algo en fighera o arroyo"
"-OsaqOd2fzEUVqIsmI3B","WhatsApp Bot","2026-05-14T14:17:35.582Z","checkpoint","0","Grupo WhatsApp","Consulta sobre posibles operativos o novedades entre General Lagos y Fighiera.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","De lagos a figuera algo ?"
"-OsbH6_p_3ca0Z18wiBF","WhatsApp Bot","2026-05-14T16:18:41.682Z","checkpoint","0","Grupo WhatsApp","Consulta sobre operativos o controles en la zona de Arroyo Seco.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Algo en Arroyo?"
"-OsbN3QU7fmfz7HnTjtk","WhatsApp Bot","2026-05-14T16:44:41.596Z","checkpoint","0","Grupo WhatsApp","Consulta sobre un posible operativo o control en Pueblo Esther.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Algo en pueblo esther?"
"-OsbV1qDTo3ptt-0ntH8","WhatsApp Bot","2026-05-14T17:19:32.267Z","police","0","Grupo WhatsApp","Consulta sobre la presencia de Gendarmería en el Peaje General Lagos.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Está gendarmería en el peaje de lagos?"
"-Osbi7vsltMJp4nBujKC","WhatsApp Bot","2026-05-14T18:21:07.221Z","checkpoint","0","Grupo WhatsApp","Consulta sobre un posible operativo entre General Lagos y Pueblo Esther.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Algo de lagos a pueblo Esther?"
"-OsbmyreAal_lUz3NwDb","WhatsApp Bot","2026-05-14T18:42:16.711Z","checkpoint","0","Grupo WhatsApp","Consulta sobre posibles operativos o controles en Ruta Provincial 21, en la zona de Arroyo Seco y sus alrededores.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Algo por 21?"
"-OsbqUtLh-aPykHKiBEp","WhatsApp Bot","2026-05-14T18:57:38.419Z","traffic","0","Grupo WhatsApp","Acceso a General Lagos libre de tráfico","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Acceso lagoslibre"
"-Osc2yCORv4RmK3uDpjl","WhatsApp Bot","2026-05-14T19:56:30.454Z","checkpoint","0","Grupo WhatsApp","Control vehicular en Pueblo Esther.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Control en pueblo esther"
"-Osc32eCE7Vo87g_9ZWt","WhatsApp Bot","2026-05-14T19:56:52.778Z","checkpoint","0","Grupo WhatsApp","Posible operativo o control de tránsito ubicado en la Ruta Provincial 21, antes de la estación de servicio YPF de General Lagos, para los que circulan en dirección a Rosario.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Antes de ypf de lagos a rosario"
"-OscP-lASULu_iwEvax9","WhatsApp Bot","2026-05-14T21:32:48.108Z","checkpoint","0","Grupo WhatsApp","Consulta sobre operativos en Ruta Provincial 21, entre Pueblo Esther y Arroyo Seco.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Algo de pueblo esther a arroyo?"
"-OscTPYW4fy-ZJcbj0jW","WhatsApp Bot","2026-05-14T21:52:02.305Z","checkpoint","0","Grupo WhatsApp","Control entrada de lagos por autopista","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Control entrada de lagos por autopista"
"-OscYM6wniCFVvoBvuPP","WhatsApp Bot","2026-05-14T22:13:38.968Z","checkpoint","0","Grupo WhatsApp","Control en Fighiera en dirección a Arroyo Seco","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Control en fig yendo para arroyo recién"
"-OscYhBuxQL4-_TAO10Y","WhatsApp Bot","2026-05-14T22:15:09.398Z","checkpoint","0","Grupo WhatsApp","Operativo en frente de Grido","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Están también en frente de grido"
"-OscZDiGOVIjHSja7Vj0","WhatsApp Bot","2026-05-14T22:17:26.701Z","checkpoint","0","Grupo WhatsApp","Control en la YPF de Fighiera.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Fighiera control en la ypf"
"-OscdbX9uAfcFzF1iT18","WhatsApp Bot","2026-05-14T22:40:59.045Z","checkpoint","0","Grupo WhatsApp","Consulta sobre presencia de operativo en el puente de la iglesia","🚔🚨Operativos🚓 Arroyo Seco y alrededores","No saven si están ay todavía al puente d la iglesia"
"-OscfTvYBb9vy2VRTbFK","WhatsApp Bot","2026-05-14T22:49:08.094Z","checkpoint","0","Grupo WhatsApp","Ausencia de operativos policiales o de tránsito frente a la Parroquia Nuestra Señora del Carmen en Arroyo Seco.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","No hay nadie enfrente de la Iglesia"
"-OsckiKvnxQbaj8MJWI2","WhatsApp Bot","2026-05-14T23:12:01.949Z","checkpoint","0","Grupo WhatsApp","El peaje está libre de cobro.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Peaje libre"
"-OscnzlJmbSBVTymwoUr","WhatsApp Bot","2026-05-14T23:26:19.766Z","checkpoint","0","Grupo WhatsApp","Vía libre entre Fighiera y Arroyo Seco","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Fighiera a a arroyo libre"
"-OsdWsXX3WME_rSuHyT_","WhatsApp Bot","2026-05-15T02:46:48.763Z","municipal","0","Grupo WhatsApp","Operativo de tránsito municipal en Granadero Baigorria.","Solo Operativos de TRÁNSITO!!! 2","Esto pasa en Granadero Baigorria. Tránsito de GB. 

https://www.facebook.com/share/v/1Ee76LzVeQ/"
"-Osd_GzLoHmkZmvOU-A0","WhatsApp Bot","2026-05-15T03:01:39.449Z","municipal","0","Grupo WhatsApp","Control de tránsito municipal en Granadero Baigorria.","Choferes de Uber.!! ","Esto pasa en Granadero Baigorria. Tránsito de GB. 

https://www.facebook.com/share/v/1Ee76LzVeQ/"
"-Osdmnw0b0kGAmQF92bv","WhatsApp Bot","2026-05-15T04:00:46.363Z","checkpoint","0","Grupo WhatsApp","Operativo por ruta 21, en la curva del hospital","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Operativo por ruta 21, en la curva del hospital"
"-OseoOaH8zrZVTzOau6y","WhatsApp Bot","2026-05-15T08:47:19.988Z","police","0","Grupo WhatsApp","Operativo de tránsito en la entrada a Pueblo Esther desde Alvear, con la Policía Vial y CAU (Control y Asistencia Urbana) parando vehículos.","Solo Operativos de TRÁNSITO!!! 2","*🚧🚥🚥🚧RUTA 21 Y OROÑO ENTRADA A PUEBLO ESTHER DESDE ALVEAR DE ESA MANO .... OPERATIVO DE TRÁNSITO (EL CAU control y asistencia urbana) CON LA POLICIA VIAL PARANDO🚧🚥🚥🚧*"
"-OseoPrbAs8p-NoVuOXo","WhatsApp Bot","2026-05-15T08:47:25.193Z","police","0","Grupo WhatsApp","Operativo de tránsito del CAU y la Policía Vial en el ingreso desde Alvear","Solo Operativos de TRÁNSITO!!! 2","*🚧🚥🚥🚧RUTA 21 Y OROÑO ENTRADA A PUEBLO ESTHER DESDE ALVEAR DE ESA MANO .... OPERATIVO DE TRÁNSITO (EL CAU control y asistencia urbana) CON LA POLICIA VIAL PARANDO🚧🚥🚥🚧*"
"-Osf2hIea4_NEtTl7lNN","WhatsApp Bot","2026-05-15T09:54:12.869Z","radar","0","Grupo WhatsApp","Ahí en celulosa debería haber cámaras pero no lo hay","Choferes de Uber.!! ","Ahí en celulosa debería haber cámaras pero no lo hay"
"-OsfP4jFsj2kGttdUsgr","WhatsApp Bot","2026-05-15T11:32:00.106Z","checkpoint","0","Grupo WhatsApp","Consulta sobre posible operativo o incidente en AO-12 y la vía férrea.","🚔🚨Operativos🚓 Arroyo Seco y alrededores","Algo en ao12 y la vía?"
